שם עברית,תאריך דגימה,מספר זיהוי,B,BR,CA,CAFFE,CARBO,Cl,DO,DP-P,EC,ECFD,F,HARD,HCO3,K,Mg,NO2,NO3,ORP,PFBS,PFHpA,PFHxA,PFOA,PFOS,PHFD,PO4,SILT,SO4,SODIUM AS,SR,T,TDS,TN-N,TOC,TURB
 חביבה- עי כביש 6,14/01/2018 11:50,14114,,,56.954,,,55.1,,,,,,,177.0,11.974,6.065,,16.1,,,,,,,,,,14.9,33.32,,,,,,
אדוריים - גשר רכבת,02/02/2012 13:30,21120,,,21.69,,,15.89,,,,,,,117.0,2.86,7.11,,7.42,,,,,,,,,,10.76,20.71,,,,,,
אדוריים - גשר רכבת,12/12/2002 00:00,21120,0.137,,20.02,,,16.4,,,,,,,112.4,1.54,5.87,,5.4,,,,,,,,,,2.5,23.22,,,,,,
אדוריים - גשר רכבת,20/03/2023 00:00,21120,,,14.6,,,,,,,,,,80.0,3.98,,,2.206,,,,,,,,,,,,,,,,,
אדוריים - גשר רכבת,21/12/2002 00:00,21120,0.057,,27.16,,,21.34,,,,,,,120.6,1.94,7.42,,7.2,,,,,,,,,,2.9,15.02,,,,,,
אדוריים - גשר רכבת,23/12/2002 00:00,21120,,,,,,10.85,,,,,,,,,,,4.28,,,,,,,,,,,,,,,,,
אדוריים - גשר רכבת,25/12/2002 00:00,21120,0.184,,12.54,,,10.85,,,,,,,112.0,1.38,5.53,,4.28,,,,,,,,,,10.85,28.78,,,,,,
אדוריים - גשר רכבת,27/12/2006 00:00,21120,0.351,0.2,8.9,,,21.6,,,,,,,131.1,1.9,3.75,,9.8,,,,,,,,,,12.2,55.3,,,,,,
אור,21/12/2012 10:00,31130,,,37.9,,,23.6,,,,,,,140.0,7.4,9.7,,16.15,,,,,,,,,,14.89,15.1,,,,,,
אזור - תעלה,01/12/2021 13:45,17268,,,,,,25.3,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,
אזור - תעלה,07/01/2013 00:00,17268,,,23.0,,,43.5,,,,,,,56.0,3.1,2.9,,2.2,,,,,,,,,,21.7,24.2,,,,,,
אזור - תעלה,07/02/2023 00:00,17268,,,21.8,,,35.56,,,,,,,67.0,8.16,4.08,,2.845,,,,,,,,2.241,,10.742,19.2,,,,2.089,4.353,
אזור - תעלה,16/12/2020 12:35,17268,,,12.7,,,5.0,,,,,,,47.0,1.9,1.2,,1.6,,,,,,,,,,5.1,,,,,,,
אזור - תעלה,17/02/2021 12:10,17268,,0.123,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,
אזור - תעלה,21/11/2021 12:30,17268,,,,,,12.3,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,
אזור - תעלה,26/11/2014 00:00,17268,,,22.1,,,24.4,,,,,,,69.0,2.84,1.68,,1.9,,,,,,,,,,7.7,14.41,,,,,,
אזור - תעלה,29/12/2019 07:00,17268,,,15.9,,,11.7,,,,,,,58.0,2.8,2.1,,2.1,,,,,,,,,,5.5,8.9,,,,,,
איילון - כביש בית דגן-יהוד,02/01/1983 00:00,17165,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - כביש בית דגן-יהוד,02/02/1975 00:00,17165,,,,,,34.0,,,,,,,,,,,,,,,,,,,,4.702,,,,,,,,
איילון - כביש בית דגן-יהוד,02/03/1980 00:00,17165,,,,,,25.0,,,,,,,,,,,,,,,,,,,,4.617,,,,,,,,
איילון - כביש בית דגן-יהוד,02/12/1991 09:44,17165,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - כביש בית דגן-יהוד,02/12/1994 00:00,17165,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - כביש בית דגן-יהוד,03/01/1977 00:00,17165,,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - כביש בית דגן-יהוד,03/02/1957 00:00,17165,,,,,,26.0,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,
איילון - כביש בית דגן-יהוד,03/02/1997 00:00,17165,,0.0,51.0,,,38.0,,,,,,,170.0,7.0,7.0,,5.0,,,,,,,,,,17.0,25.0,,,,,,
איילון - כביש בית דגן-יהוד,03/12/1963 00:00,17165,,,,,,65.0,,,469.0,,,,,,,,,,,,,,,,,1.607,,,,,4314.0,,,
איילון - כביש בית דגן-יהוד,03/12/1991 13:05,17165,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - כביש בית דגן-יהוד,05/01/1983 00:00,17165,,,,,,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - כביש בית דגן-יהוד,06/01/1956 00:00,17165,,,,,,18.0,,,,,,13.0,,,,,,,,,,,,,,1.875,,,,,170.0,,,
איילון - כביש בית דגן-יהוד,07/01/1969 00:00,17165,,,,,,50.0,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,
איילון - כביש בית דגן-יהוד,07/02/1972 00:00,17165,,,,,,22.0,,,,,,,,,,,,,,,,,,,,1.12,,,,,,,,
איילון - כביש בית דגן-יהוד,07/03/1973 00:00,17165,,,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - כביש בית דגן-יהוד,07/12/1955 00:00,17165,,,,,,13.0,,,,,,10.0,,,,,,,,,,,,8.2,,5.225,,,,,108.0,,,
איילון - כביש בית דגן-יהוד,07/12/1957 00:00,17165,,,,,,20.0,,,,,,,,,,,,,,,,,,,,3.092,,,,,158.0,,,
איילון - כביש בית דגן-יהוד,08/01/1969 00:00,17165,,,,,,40.0,,,,,,,,,,,,,,,,,,,,0.337,,,,,,,,
איילון - כביש בית דגן-יהוד,08/03/1973 00:00,17165,,,,,,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - כביש בית דגן-יהוד,08/12/1955 00:00,17165,,,,,,20.0,,,,,,10.0,,,,,,,,,,,,8.3,,1.15,,,,,139.0,,,
איילון - כביש בית דגן-יהוד,08/12/1957 00:00,17165,,,,,,13.0,,,,,,,,,,,,,,,,,,,,2.752,,,,,159.0,,,
איילון - כביש בית דגן-יהוד,09/02/1961 00:00,17165,,,,,,25.0,,,262.0,,,14.0,,,,,,,,,,,,,,2.65,,,,,150.0,,,
איילון - כביש בית דגן-יהוד,09/11/1986 00:00,17165,,,41.0,,,45.0,,,,,,,131.0,6.5,6.5,,12.0,,,,,,,,,3.278,26.0,34.0,,,,,,
איילון - כביש בית דגן-יהוד,09/12/1963 00:00,17165,,,,,,18.0,,,250.0,,,,,,,,,,,,,,,,,11.713,,,,,8184.0,,,
איילון - כביש בית דגן-יהוד,10/01/1958 00:00,17165,,,,,,28.0,,,,,,,,,,,,,,,,,,,,2.829,,,,,104.0,,,
איילון - כביש בית דגן-יהוד,10/02/1986 00:00,17165,,,,,,60.0,,,,,,,,,,,,,,,,,,,,0.178,,,,,,,,
איילון - כביש בית דגן-יהוד,10/11/1986 00:00,17165,,,47.0,,,63.0,,,,,,,155.0,6.3,10.0,,15.0,,,,,,,,,1.267,29.0,32.0,,,,,,
איילון - כביש בית דגן-יהוד,10/12/1957 00:00,17165,,,,,,23.0,,,,,,,,,,,,,,,,,,,,3.092,,,,,168.0,,,
איילון - כביש בית דגן-יהוד,10/12/1963 00:00,17165,,,,,,26.0,,,371.0,,,,,,,,,,,,,,,,,2.08,,,,,5640.0,,,
איילון - כביש בית דגן-יהוד,10/12/1997 00:00,17165,,,47.0,,,63.0,,,,,,,206.0,13.0,13.0,,26.0,,,,,,,,,,17.0,41.0,,,,,,
איילון - כביש בית דגן-יהוד,11/01/1958 00:00,17165,,,,,,30.0,,,,,,,,,,,,,,,,,,,,0.432,,,,,124.0,,,
איילון - כביש בית דגן-יהוד,11/01/1961 00:00,17165,,,,,,25.0,,,259.0,,,8.0,,,,,,,,,,,,,,1.27,,,,,150.0,,,
איילון - כביש בית דגן-יהוד,11/01/1993 00:00,17165,,,12.3,,,23.0,,,,,,,68.0,3.5,5.0,,1.0,,,,,,,,,,14.5,26.1,,,,,,
איילון - כביש בית דגן-יהוד,11/12/1964 00:00,17165,,,,,,22.0,,,,,,,,,,,,,,,,,,,,2.06,,,,,,,,
איילון - כביש בית דגן-יהוד,11/12/1974 00:00,17165,,,,,,40.0,,,,,,,,,,,,,,,,,,,,1.817,,,,,,,,
איילון - כביש בית דגן-יהוד,12/01/1998 00:00,17165,,0.0,50.0,,,55.0,,,,,,,158.0,7.0,8.0,,16.0,,,,,,,,,,21.0,35.0,,,,,,
איילון - כביש בית דגן-יהוד,12/02/1963 00:00,17165,,,,,,83.2,,,708.0,,,,,,,,,,,,,,,,,,,,,,370.0,,,
איילון - כביש בית דגן-יהוד,13/01/1971 00:00,17165,,,,,,56.0,,,,,,,,,,,,,,,,,,,,0.907,,,,,,,,
איילון - כביש בית דגן-יהוד,13/04/1971 00:00,17165,,,,,,26.0,,,,,,,,,,,,,,,,,,,,2.07,,,,,,,,
איילון - כביש בית דגן-יהוד,15/01/1973 00:00,17165,,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - כביש בית דגן-יהוד,15/12/1955 00:00,17165,,,,,,8.0,,,,,,8.0,,,,,,,,,,,,8.0,,2.825,,,,,114.0,,,
איילון - כביש בית דגן-יהוד,15/12/1964 00:00,17165,,,,,,28.0,,,,,,,,,,,,,,,,,,,,1.33,,,,,,,,
איילון - כביש בית דגן-יהוד,15/12/1992 00:00,17165,,,35.9,,,18.0,,,,,,,123.0,4.5,5.4,,6.0,,,,,,,,,,15.5,17.1,,,,,,
איילון - כביש בית דגן-יהוד,16/01/1971 00:00,17165,,,,,,60.0,,,,,,,,,,,,,,,,,,,,0.68,,,,,,,,
איילון - כביש בית דגן-יהוד,16/02/1961 00:00,17165,,,,,,15.0,,,,,,13.0,,,,,,,,,,,,,,3.21,,,,,116.0,,,
איילון - כביש בית דגן-יהוד,16/02/1986 00:00,17165,,,,,,85.0,,,,,,,,,,,,,,,,,,,,0.129,,,,,,,,
איילון - כביש בית דגן-יהוד,16/03/1997 00:00,17165,,0.0,39.0,,,20.0,,,,,,,128.0,8.0,9.0,,17.0,,,,,,,,,,22.0,17.0,,,,,,
איילון - כביש בית דגן-יהוד,16/12/1992 00:00,17165,,,34.2,,,17.0,,,,,,,115.0,3.1,5.6,,6.0,,,,,,,,,,13.0,16.5,,,,,,
איילון - כביש בית דגן-יהוד,17/01/1974 00:00,17165,,,,,,22.0,,,,,,,,,,,,,,,,,,,,5.193,,,,,,,,
איילון - כביש בית דגן-יהוד,17/12/1968 00:00,17165,,,,,,36.0,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,
איילון - כביש בית דגן-יהוד,18/01/1983 00:00,17165,,,,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - כביש בית דגן-יהוד,18/02/1988 00:00,17165,,,41.0,,,36.0,,,,,,,171.0,7.5,10.5,,19.0,,,,,,,,,,23.5,35.0,,,,,,
איילון - כביש בית דגן-יהוד,18/03/1998 10:15,17165,,0.27,64.0,,,47.0,,,,,,,226.0,13.0,15.0,,3.0,,,,,,,,,,16.0,30.0,,,,,,
איילון - כביש בית דגן-יהוד,18/04/1971 00:00,17165,,,,,,60.0,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,
איילון - כביש בית דגן-יהוד,19/03/1997 00:00,17165,,0.0,52.0,,,47.0,,,,,,,185.0,9.0,12.0,,21.0,,,,,,,,,,29.0,38.0,,,,,,
איילון - כביש בית דגן-יהוד,19/12/1994 00:00,17165,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - כביש בית דגן-יהוד,20/01/1957 00:00,17165,,,,,,20.0,,,,,,12.0,,,,,,,,,,,,,,0.226,,,,,,,,
איילון - כביש בית דגן-יהוד,20/02/1983 00:00,17165,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - כביש בית דגן-יהוד,20/03/1998 09:20,17165,,,41.0,,,38.0,,,,,,,160.0,6.0,14.0,,22.0,,,,,,,,,,21.0,30.0,,,,,,
איילון - כביש בית דגן-יהוד,21/01/1974 00:00,17165,,,,,,27.0,,,,,,,,,,,,,,,,,,,,3.296,,,,,,,,
איילון - כביש בית דגן-יהוד,22/02/1983 00:00,17165,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - כביש בית דגן-יהוד,22/02/1997 00:00,17165,,0.0,66.0,,,33.0,,,,,,,191.0,7.0,9.0,,17.0,,,,,,,,,,16.0,21.0,,,,,,
איילון - כביש בית דגן-יהוד,22/11/2004 00:00,17165,0.069,,42.3,,,24.33,,,,,,,156.6,5.1,6.8,,4.3005,,,,,,,,,,0.0,21.0,0.206,,,,,
איילון - כביש בית דגן-יהוד,23/01/1969 00:00,17165,,,,,,46.0,,,,,,,,,,,,,,,,,,,,0.453,,,,,,,,
איילון - כביש בית דגן-יהוד,23/01/1997 00:00,17165,,0.0,66.0,,,47.0,,,,,,,198.0,9.0,11.0,,26.0,,,,,,,,,,32.0,32.0,,,,,,
איילון - כביש בית דגן-יהוד,23/02/1997 00:00,17165,,0.14,46.0,,,26.0,,,,,,,157.0,7.0,10.0,,12.0,,,,,,,,,,16.0,21.0,,,,,,
איילון - כביש בית דגן-יהוד,23/03/1970 00:00,17165,,,,,,136.0,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,
איילון - כביש בית דגן-יהוד,23/11/1964 00:00,17165,,,,,,64.0,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,
איילון - כביש בית דגן-יהוד,24/01/1983 00:00,17165,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - כביש בית דגן-יהוד,24/01/1994 00:00,17165,,,,,,90.0,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,
איילון - כביש בית דגן-יהוד,24/02/1988 00:00,17165,,,40.0,,,25.0,,,,,,,262.0,4.3,4.0,,7.0,,,,,,,,,,21.5,65.0,,,,,,
איילון - כביש בית דגן-יהוד,24/02/1997 00:00,17165,,0.19,54.0,,,39.0,,,,,,,183.0,8.0,13.0,,16.0,,,,,,,,,,23.0,26.0,,,,,,
איילון - כביש בית דגן-יהוד,24/11/1955 00:00,17165,,,,,,14.0,,,,,,9.0,,,,,,,,,,,,8.5,,1.85,,,,,108.0,,,
איילון - כביש בית דגן-יהוד,24/11/1994 00:00,17165,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - כביש בית דגן-יהוד,25/02/1988 00:00,17165,,,59.0,,,50.0,,,,,,,287.0,6.0,12.6,,12.0,,,,,,,,,,29.0,58.0,,,,,,
איילון - כביש בית דגן-יהוד,25/11/1994 00:00,17165,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - כביש בית דגן-יהוד,25/12/1987 00:00,17165,,,55.0,,,55.0,,,,,,,189.0,7.0,9.7,,14.0,,,,,,,,,,33.0,39.0,,,,,,
איילון - כביש בית דגן-יהוד,26/01/1969 00:00,17165,,,,,,40.6,,,,,,,,,,,,,,,,,,,,0.193,,,,,,,,
איילון - כביש בית דגן-יהוד,26/01/1970 00:00,17165,,,,,,178.0,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,
איילון - כביש בית דגן-יהוד,26/02/1985 00:00,17165,,,44.0,,,50.0,,,,,,,156.0,4.7,10.0,,8.0,,,,,,,,,,26.5,37.0,,,,,,
איילון - כביש בית דגן-יהוד,26/03/1996 09:00,17165,,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - כביש בית דגן-יהוד,27/02/1985 00:00,17165,,,48.0,,,60.0,,,,,,,160.0,6.0,10.0,,9.0,,,,,,,,,,31.0,40.0,,,,,,
איילון - כביש בית דגן-יהוד,28/11/1994 00:00,17165,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - כביש בית דגן-יהוד,29/01/1956 00:00,17165,,,,,,15.0,,,,,,,,,,,,,,,,,,,,0.525,,,,,159.0,,,
איילון - כביש בית דגן-יהוד,29/01/1969 00:00,17165,,,,,,76.4,,,,,,,,,,,,,,,,,,,,0.107,,,,,,,,
איילון - כביש בית דגן-יהוד,30/01/1956 00:00,17165,,,,,,16.0,,,,,,,,,,,,,,,,,,,,2.65,,,,,148.0,,,
איילון - כביש בית דגן-יהוד,30/01/1958 00:00,17165,,,,,,28.0,,,,,,,,,,,,,,,,,,,,1.175,,,,,134.0,,,
איילון - כביש בית דגן-יהוד,31/01/1958 00:00,17165,,,,,,25.0,,,,,,,,,,,,,,,,,,,,0.651,,,,,158.0,,,
איילון - לוד בכביש נתב''ג,02/01/1983 00:00,17145,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - לוד בכביש נתב''ג,02/12/1994 00:00,17145,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - לוד בכביש נתב''ג,05/01/1983 00:00,17145,,,,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - לוד בכביש נתב''ג,06/01/1956 00:00,17145,,,,,,15.0,,,,,,,,,,,,,,,,,,,,0.775,,,,,177.0,,,
איילון - לוד בכביש נתב''ג,07/12/1957 00:00,17145,,,,,,15.0,,,,,,,,,,,,,,,,,,,,1.008,,,,,125.0,,,
איילון - לוד בכביש נתב''ג,07/12/1979 00:00,17145,,,,,,50.0,,,,,,,,,,,,,,,,,,,,2.369,,,,,,,,
איילון - לוד בכביש נתב''ג,08/12/1957 00:00,17145,,,,,,15.0,,,,,,,,,,,,,,,,,,,,1.458,,,,,143.0,,,
איילון - לוד בכביש נתב''ג,09/11/1986 00:00,17145,,,37.0,,,35.0,,,,,,,134.0,6.0,7.3,,13.0,,,,,,,,,3.947,24.5,32.5,,,,,,
איילון - לוד בכביש נתב''ג,11/03/1993 00:00,17145,,,37.0,,,26.0,,,,,,,148.0,4.5,8.1,,10.0,,,,,,,,,,17.0,26.1,,,,,,
איילון - לוד בכביש נתב''ג,15/12/1955 00:00,17145,,,,,,10.0,,,,,,10.0,,,,,,,,,,,,8.1,,3.525,,,,,144.0,,,
איילון - לוד בכביש נתב''ג,16/12/1992 00:00,17145,,,33.3,,,22.0,,,,,,,107.0,4.2,3.4,,8.0,,,,,,,,,,15.0,22.9,,,,,,
איילון - לוד בכביש נתב''ג,17/01/1974 00:00,17145,,,,,,33.0,,,,,,,,,,,,,,,,,,,,3.395,,,,,,,,
איילון - לוד בכביש נתב''ג,18/01/1983 00:00,17145,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - לוד בכביש נתב''ג,18/02/1988 00:00,17145,,,47.0,,,44.0,,,,,,,204.0,8.2,10.0,,26.0,,,,,,,,,,29.0,50.0,,,,,,
איילון - לוד בכביש נתב''ג,19/12/1994 00:00,17145,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - לוד בכביש נתב''ג,20/02/1983 00:00,17145,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - לוד בכביש נתב''ג,20/11/1953 00:00,17145,,,,,,18.0,,,,,,8.2,,,,,,,,,,,,8.0,,5.35,,,,,96.0,,,
איילון - לוד בכביש נתב''ג,22/12/1977 00:00,17145,,,,,,55.0,,,,,,,,,,,,,,,,,,,,5.313,,,,,,,,
איילון - לוד בכביש נתב''ג,23/12/1977 00:00,17145,,,,,,70.0,,,,,,,,,,,,,,,,,,,,1.474,,,,,,,,
איילון - לוד בכביש נתב''ג,24/01/1983 00:00,17145,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - לוד בכביש נתב''ג,24/02/1988 00:00,17145,,,67.0,,,42.0,,,,,,,278.0,8.7,17.0,,23.0,,,,,,,,,,28.5,94.0,,,,,,
איילון - לוד בכביש נתב''ג,24/11/1994 00:00,17145,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - לוד בכביש נתב''ג,24/12/1987 00:00,17145,,,46.0,,,56.0,,,,,,,174.0,7.2,10.4,,16.0,,,,,,,,,,19.0,41.0,,,,,,
איילון - לוד בכביש נתב''ג,25/02/1993 00:00,17145,,,17.6,,,14.0,,,,,,,70.0,2.4,3.1,,1.0,,,,,,,,,,11.5,14.5,,,,,,
איילון - לוד בכביש נתב''ג,25/11/1994 00:00,17145,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - לוד בכביש נתב''ג,25/12/1987 00:00,17145,,,56.0,,,41.0,,,,,,,201.0,7.0,9.7,,15.0,,,,,,,,,,39.0,37.5,,,,,,
איילון - לוד בכביש נתב''ג,26/02/1985 00:00,17145,,,43.0,,,64.0,,,,,,,157.0,6.6,8.0,,6.0,,,,,,,,,,30.0,41.0,,,,,,
איילון - לוד בכביש נתב''ג,28/11/1994 00:00,17145,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - לוד בכביש נתב''ג,30/01/1956 00:00,17145,,,,,,24.0,,,,,,,,,,,,,,,,,,,,0.725,,,,,198.0,,,
איילון - לוד בכביש נתב''ג,30/12/1954 00:00,17145,,,,,,25.0,,,,,,12.0,,,,,,,,,,,,7.9,,0.95,,,,,190.0,,,
איילון - לוד בכביש נתב''ג,31/01/1958 00:00,17145,,,,,,55.0,,,,,,,,,,,,,,,,,,,,0.645,,,,,263.0,,,
איילון - לוד בסכר המדידה,01/03/1998 10:20,17144,,,51.0,,,88.0,,,,,,,151.0,11.0,13.0,,41.0,,,,,,,,,,36.0,63.0,,,,,,
איילון - לוד בסכר המדידה,01/12/2015 00:00,17144,,,57.9,,,173.6,,,,,,,436.0,27.8,13.1,,4.0,,,,,,,,,,79.1,142.0,,,,,,
איילון - לוד בסכר המדידה,02/02/2016 08:05,17144,,,57.2,,,189.1,,,,,,,,23.7,14.7,,5.5,,,,,,,,,,74.455,141.6,,,,,,
איילון - לוד בסכר המדידה,03/02/1997 00:00,17144,,0.1,66.0,,,91.0,,,,,,,211.0,10.0,12.0,,5.0,,,,,,,,,,36.0,57.0,,,,,,
איילון - לוד בסכר המדידה,03/12/1991 09:05,17144,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון - לוד בסכר המדידה,06/02/2005 10:20,17144,0.082,,52.2,,,27.85,,,,,,,204.8,7.67,7.8,,8.908,,,,,,,,,,18.35,27.5,0.224,,,,,
איילון - לוד בסכר המדידה,07/01/2015 00:00,17144,,,43.4,,,63.4,,,,,,,170.0,6.46,6.93,,,,,,,,,,,,26.7,43.78,,,,,,
איילון - לוד בסכר המדידה,08/01/2015 00:00,17144,,,32.3,,,46.4,,,,,,,117.0,5.7,6.75,,10.7,,,,,,,,,,22.7,28.19,,,,,,
איילון - לוד בסכר המדידה,10/01/1993 08:19,17144,,,,,,36.0,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,
איילון - לוד בסכר המדידה,10/03/2011 00:00,17144,,,30.7,,,38.45,,,,,,,139.0,5.2,4.8,,1.85,,,,,,,,,,21.23,32.7,,,,,,
איילון - לוד בסכר המדידה,10/12/1997 00:00,17144,,0.18,57.0,,,34.0,,,,,,,185.0,6.0,8.0,,4.0,,,,,,,,,,19.0,24.0,,,,,,
איילון - לוד בסכר המדידה,11/01/2006 00:00,17144,0.067,,44.9,,,54.4,,,,,,,182.5,8.4,10.6,,3.6,,,,,,,,,,19.7,46.7,0.259,,,,,
איילון - לוד בסכר המדידה,11/01/2015 00:00,17144,,,40.4,,,39.7,,,,,,,165.0,7.58,8.51,,13.3,,,,,,,,,,25.0,34.31,,,,,,
איילון - לוד בסכר המדידה,11/02/2009 11:50,17144,,,57.6,,,59.4,,,,,,,184.0,10.4,8.6,,,,,,,,,,,,25.3,38.6,,,,,,
איילון - לוד בסכר המדידה,12/01/2006 00:00,17144,0.093,,46.7,,,78.7,,,,,,,189.1,10.5,12.5,,9.3,,,,,,,,,,32.9,61.1,0.322,,,,,
איילון - לוד בסכר המדידה,12/12/2013 11:20,17144,,,38.0,,,56.2,,,,,,,120.0,6.6,6.4,,9.8,,,,,,,,,,27.5,29.8,,,,,,
איילון - לוד בסכר המדידה,13/12/2010 09:00,17144,,,16.92,,,13.3,,,,,,,95.0,4.14,3.77,,5.2,,,,,,,,,,8.2,18.58,,,,,,
איילון - לוד בסכר המדידה,14/03/2007 10:05,17144,0.057,0.1,27.6,,,33.4,,,,,,,118.0,6.08,6.7,,8.3,,,,,,,,,,19.4,26.5,,,,,,
איילון - לוד בסכר המדידה,15/12/1992 00:00,17144,,,37.7,,,19.0,,,,,,,128.0,4.0,5.5,,9.0,,,,,,,,,,14.5,19.7,,,,,,
איילון - לוד בסכר המדידה,16/01/2013 11:00,17144,,,115.1,,,292.3,,,,,,,455.0,23.3,37.8,,0.25,,,,,,,,,,123.6,174.7,,,,,,
איילון - לוד בסכר המדידה,16/11/2014 00:00,17144,,,16.3,,,11.7,,,,,,,65.0,4.46,2.96,,5.0,,,,,,,,,,16.5,11.16,,,,,,
איילון - לוד בסכר המדידה,17/02/2021 00:00,17144,,,38.5,,,,,,,,,,174.0,10.5,9.2,,,,,,,,,,,,29.8,48.2,,,,,,
איילון - לוד בסכר המדידה,17/12/2002 00:00,17144,0.449,,89.7,,,298.9,,,,,,,474.5,27.85,41.26,,84.38,,,,,,,,,,30.1,208.8,,,,,,
איילון - לוד בסכר המדידה,18/03/1998 07:00,17144,,,44.0,,,50.0,,,,,,,121.0,8.0,8.0,,32.0,,,,,,,,,,27.0,33.0,,,,,,
איילון - לוד בסכר המדידה,19/03/1998 06:20,17144,,,63.0,,,169.0,,,,,,,149.0,18.0,21.0,,102.0,,,,,,,,,,47.0,119.0,,,,,,
איילון - לוד בסכר המדידה,20/01/2020 00:00,17144,,,,,,,,,,,,,,,10.2,,10.2,,,,,,,,,,,,,,,,,
איילון - לוד בסכר המדידה,20/03/1998 08:15,17144,,0.1,72.0,,,94.0,,,,,,,244.0,12.0,14.0,,21.0,,,,,,,,,,32.0,69.0,,,,,,
איילון - לוד בסכר המדידה,20/11/2011 00:00,17144,,,40.11,,,36.0,,,,,,,168.0,9.33,6.63,,5.2,,,,,,,,,,24.0,28.16,,,,,,
איילון - לוד בסכר המדידה,21/01/2003 13:00,17144,0.081,,48.46,,,62.68,,,,,,,143.0,7.43,7.82,,31.4,,,,,,,,,,21.2,36.25,,,,,,
איילון - לוד בסכר המדידה,21/02/2003 09:10,17144,0.162,,62.64,,,84.08,,,,,,,234.6,15.16,15.43,,37.2,,,,,,,,,,29.5,67.86,,,,,,
איילון - לוד בסכר המדידה,21/04/2013 00:00,17144,,,37.7,,,98.0,,,,,,,173.0,10.4,8.8,,3.5,,,,,,,,,,51.3,57.4,,,,,,
איילון - לוד בסכר המדידה,22/02/2009 12:30,17144,,,36.4,,,40.5,,,,,,,109.7,4.8,5.2,,11.3,,,,,,,,,,14.6,18.5,,,,,,
איילון - לוד בסכר המדידה,22/02/2016 15:10,17144,,,22.7,,,21.9,,,,,,,,5.4,17.0,,9.5,,,,,,,,,,12.8,4.4,,,,,,
איילון - לוד בסכר המדידה,22/11/2004 00:00,17144,0.079,,48.3,,,54.32,,,,,,,158.2,7.4,7.5,,16.535,,,,,,,,,,0.0,36.2,0.22,,,,,
איילון - לוד בסכר המדידה,22/11/2005 10:15,17144,0.175,,64.8,,,239.0,,,,,,,214.7,19.0,27.0,,44.5,,,,,,,,,,62.7,146.1,0.608,,,,,
איילון - לוד בסכר המדידה,23/12/2012 00:00,17144,,,59.3,,,101.0,,,,,,,240.0,16.7,14.5,,17.91,,,,,,,,,,59.93,68.8,,,,,,
